ID,Vraag,Antwoord,Taal vraag,Taal antwoord,Methode,Boek
480,ziemlich,tamelijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
481,das Alter,de leeftijd,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
482,das Bundesland,de deelstaat,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
483,durchschnittlich,gemiddeld,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
484,ehrgeizig,ambitieus,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
485,erlauben,toestaan,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
486,ersetzen,vervangen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
487,fordern,eisen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
488,schade,jammer,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
489,der Streit,de ruzie,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
490,üblich,"gebruikelijk, gewoon",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
491,die Umfrage,de enquete,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
492,der Vorschlag,het voorstel,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
493,Iets uit het hoofd leren,etwas auswendig lernen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
494,de opdracht begrijpen,die Aufgabe verstehen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
495,een zin vertalen,einen Satz übersetzen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
496,een fout maken,einen Fehler machen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
497,de formule in het schrift schrijven,die Formel ins Heft schreiben,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
498,een vreemde taal leren,eine Fremdsprache lernen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
499,huiswerk maken,Hausaufgaben machen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
500,een proefwerk maken,eine Klassenarbeit schreiben,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
501,bijles krijgen,Nachhilfe bekommen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
502,het rapport krijgen,das Zeugnis bekommen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
503,de oefening uitleggen,die Übung erklären,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
504,de woorden leren,die Vokabeln lernen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
505,der Abfall,het afval,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
506,achten auf,letten op,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
507,das Gemüse,de groente,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
508,sich gewöhnen an,wennen aan,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
509,die Mülltonne,de vuilnisbak,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
510,das Obst,het fruit,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
511,sauber,schoon,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
512,trennen,scheiden,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
513,überprüfen,controleren,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
514,die Umwelt,het milieu,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
515,verstecken,verstoppen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
516,verwenden,gebruiken,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
517,wegwerfen,weggooien,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
518,begeistert von,enthousiast over,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
519,der Boden,de grond,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
520,erhalten,"krijgen, ontvangen",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
521,fehlen,ontbreken,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
522,die Hoffnung,de hoop,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
523,das Mitglied,het lid,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
524,sauer,zuur,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
525,das Thema,het onderwerp,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
526,traumhaft,fantastisch,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
527,der Umweltschutz,de milieubescherming,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
528,der Unterschied,het verschil,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
529,unterstützen,ondersteunen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
530,de berg,der Berg,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
531,de bloem,die Blume,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
532,de rivier,der Fluss,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
533,het eiland,die Insel,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
534,de zee,das Meer,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
535,de natuur,die Natur,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
536,de plant,die Pflanze,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
537,het meer,der See,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
538,de zon,die Sonne,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
539,het bos,der Wald,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
540,het weiland,die Wiese,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
541,besonders,bijzonder,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
542,bevor,voordat,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
543,hässlich,lelijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
544,der Hersteller,de producent,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
545,jetzt,nu,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
546,nervig,irritant,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
547,die Papiertüte,het papieren zakje,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
548,riesig,reusachtig,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
549,stundenlang,urenlang,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
550,der Versuch,"de poging, het experiment",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
551,vorschlagen,voorstellen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
552,der Wissenschaftler,de wetenschapper,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
553,allerdings,echter,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
554,bald,"gauw, binnenkort",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
555,beschäftigt sein mit,bezig zijn met,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
556,entfernt,"vandaan, verwijderd",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
557,ganz,"helemaal, heel",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
558,genau,precies,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
559,irgendwo,ergens,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
560,nachher,daarna,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
561,sicher,veilig,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
562,spazieren gehen,wandelen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
563,vergeblich,tevergeefs,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
564,das Verhalten,het gedrag,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
565,de vacht,das Fell,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
566,het voer,das Futter,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
567,de hamster,der Hamster,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
568,het huisdier,das Haustier,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
569,de kooi,der Käfig,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
570,het konijn,das Kaninchen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
571,de poes,die Katze,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
572,de cavia,das Meerschweinchen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
573,het paard,das Pferd,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
574,de dierenarts,der Tierarzt,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
575,de vogel,der Vogel,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
576,de dierentuin,der Zoo,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
577,benötigen,nodig hebben,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
578,deshalb,daarom,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
579,die Erkältung,de verkoudheid,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
580,die Ernährung,de voeding,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
581,die Kälte,de kou,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
582,der Körper,het lichaam,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
583,die Krankheit,de ziekte,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
584,die Menge,"de hoeveelheid, het aantal",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
585,oben,boven,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
586,Recht haben,gelijk hebben,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
587,übersetzen,vertalen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
588,verzichten auf,afzien van,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
589,zunächst,eerst,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
590,bereits,al,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
591,denn,want,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
592,dennoch,"toch, echter",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
593,jedoch,echter,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
594,obwohl,hoewel,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
595,quer,dwars,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
596,schwach,zwak,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
597,sterben,"overlijden, sterven",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
598,der Termin,de afspraak,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
599,verschieben,"verschuiven, verzetten",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
600,wunderbar,heerlijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
601,zum Beispiel,bijvoorbeeld,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
602,het oog,das Auge,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
603,de buik,der Bauch,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
604,het been,das Bein,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
605,de voet,der Fuß,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
606,"de keel, de hals",der Hals,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
607,de hand,die Hand,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
608,het hoofd,der Kopf,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
609,de billen,der Hintern,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
610,de rug,der Rücken,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
611,de tand,der Zahn,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
612,bisher,tot nu toe,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
613,dazugehören,erbij horen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
614,das Feuer,het vuur,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
615,die Freude,"het plezier, de vreugde",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
616,gleich,"zo, straks, meteen",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
617,das Glück,het geluk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
618,heiß,heet,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
619,das Loch,"het gaatje, het gat",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
620,oft,vaak,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
621,die Süßigkeiten,de snoep,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
622,der Teufel,de duivel,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
623,unterschiedlich,verschillend,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
624,sich ausruhen,uitrusten,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
625,die Bescherung,de pakjesavond,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
626,die Dose,"het blikje, de koektrommel",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
627,glänzen,"glimmen, glinsteren",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
628,der Lebkuchen,(een soort) taaitaai,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
629,losgehen,"beginnen, van start gaan",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
630,das Plätzchen,het koekje,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
631,riechen,ruiken,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
632,das Spielzeug,het speelgoed,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
633,witzig,grappig,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
634,der Wunschzettel,het verlanglijstje,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
635,die Zukunft,de toekomst,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
636,het kindje Jesus,das Christkind,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
637,de feestdag,der Feiertag,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
638,de verjaardag,der Geburtstag,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
639,kerstavond,der Heiligabend,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
640,de bruiloft,die Hochzeit,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
641,nieuwjaarsdag,der Neujahrstag,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
642,Sinterklaas,der Nikolaus,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
643,Pasen,Ostern,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
644,carnavalsmaandag,der Rosenmontag,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
645,oudejaarsdag,das / der Silvester,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
646,Kerstmis,das Weihnachten,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
647,het Suikerfeest,das Zuckerfest,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel A - 4e editie
648,die Aussicht,het uitzicht,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
649,die Börse,de beurs,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
650,das Denkmal,het monument,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
651,einfach,makkelijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
652,der Einwohner,de inwoner,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
653,ehrenamtlich arbeiten,vrijwilligerswerk doen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
654,der Flughafen,de luchthaven,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
655,das Hochhaus,het flatgebouw,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
656,der Marktplatz,het marktplein,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
657,das Rathaus,het stadhuis,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
658,spenden,"doneren, schenken",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
659,der Wolkenkratzer,de wolkenkrabber,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
660,der Alltag,het dagelijks leven,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
661,sich ändern,veranderen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
662,bislang,tot nu toe,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
663,dreckig,vies,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
664,genervt,geïrriteerd,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
665,hoffentlich,hopelijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
666,lebenswert,waard om in te leven,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
667,die Luft,de lucht,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
668,notwendig,noodzakelijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
669,sogar,zelfs,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
670,verschmutzen,vervuilen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
671,das Viertel,de wijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
672,de apotheek,die Apotheke,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
673,de bakkerij,die Bäckerei,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
674,de bank,die Bank,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
675,het café,das Café,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
676,het winkelcentrum,das Einkaufszentrum,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
677,het centraal station,der Hauptbahnhof,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
678,de bioscoop,das Kino,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
679,het museum,das Museum,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
680,het politiebureau,die Polizeiwache,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
681,de supermarkt,der Supermarkt,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
682,de schouwburg,das Theater,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
683,het VVV-kantoor,die Touristeninformation,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
684,drinnen,binnen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
685,der Feind,de vijand,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
686,das Geräusch,het geluid,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
687,der Karton,de doos,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
688,das Klo,de wc,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
689,pennen,slapen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
690,schlau,slim,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
691,sobald,zodra,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
692,verhindern,"vermijden, voorkomen",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
693,wach,wakker,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
694,die Wand,de muur,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
695,das Zimmer,de kamer,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
696,bequem,"gemakkelijk, comfortabel",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
697,die Ecke,de hoek,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
698,einziehen,verhuizen naar,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
699,knapp,"schaars, krap",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
700,der Kunde,de klant,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
701,das Mietshaus,het huurhuis,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
702,praktisch,handig,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
703,der Rabatt,de korting,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
704,der Raum,"het vertrek, de ruimte",Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
705,trotz,ondanks,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
706,umziehen,verhuizen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
707,die Werbung,de reclame,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
708,de boekenkast,der Bücherschrank,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
709,het raam,das Fenster,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
710,de vloer,der Fußboden,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
711,het gordijn,die Gardine,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
712,het krukje,der Hocker,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
713,het kussen,das Kissen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
714,de lamp,die Lampe,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
715,het bureau,der Schreibtisch,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
716,"de luie stoel, fauteuil",der Sessel,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
717,de bank,das Sofa,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
718,de stoel,der Stuhl,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
719,het vloerkleed,der Teppich,Nederlands,Duits,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
720,beraten,raad geven,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
721,die Geschichte,het verhaal,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
722,häufig,vaak,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
723,heutzutage,tegenwoordig,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
724,das Jahrhundert,de eeuw,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
725,mal,eens,Duits,Nederlands,Na Klar!,VWO - Leerjaar 3 - Deel B - 4e editie
